severity_score,failed_login_attempts,failed_login_count,cvss_score,hour_of_day,event_frequency,number_of_alerts_per_user,malware_detected,weekend_flag,malicious_ip_flag,threat_feed_match,event_type_enc,protocol_enc,os_enc,department_enc
-0.40891359940928507,-0.5644786802925077,1.3394661947411173,0.45284931053901456,-1.6560695501430451,-0.4343579691126517,-0.2333808122009747,0,0,0,0,9,1,3,3
-1.4417845249189716,0.25873654545126906,-0.7964542032696854,-0.629252917647513,-1.6560695501430451,0.21584311687057614,-0.4057957148317184,0,0,0,0,16,6,1,2
0.6239573261004014,2.3167746098107114,0.668176926794865,-0.3500007297284091,-1.6560695501430451,0.03851554796605946,1.8355980193679498,0,0,0,0,19,0,4,2
0.6239573261004014,-0.5644786802925077,-1.223638282871846,-1.1528507699958328,-1.6560695501430451,0.03851554796605946,-1.4402851306161806,0,0,0,0,3,4,4,1
0.6239573261004014,-0.5644786802925077,1.7056239772572548,-0.7339724881171771,-1.6560695501430451,0.03851554796605946,0.2838638956912564,0,0,0,0,3,0,4,4
0.6239573261004014,-0.5644786802925077,-1.4067171741299147,0.48775583402890277,-1.6560695501430451,-0.020593641668779434,-1.0954553253546933,1,0,0,0,1,4,0,0
-0.40891359940928507,-0.5644786802925077,-0.6133753120116165,-0.908505105566617,-1.6560695501430451,-0.8481222965565239,-0.7506255200932058,0,0,0,0,4,2,2,7
-1.4417845249189716,-0.5644786802925077,-0.7964542032696854,-0.524533347177849,-1.6560695501430451,-0.8481222965565239,-0.2333808122009747,0,0,0,0,4,6,4,2
-0.40891359940928507,-0.5644786802925077,0.11894025302065857,-0.9783181525463929,-1.6560695501430451,-0.8481222965565239,0.9735235062142312,0,0,0,0,4,6,0,6
-0.40891359940928507,-0.5644786802925077,-1.223638282871846,-1.222663816975609,-1.6560695501430451,-0.257030400208135,-0.06096590957023099,1,0,0,0,8,3,3,7
-0.40891359940928507,-0.5644786802925077,-1.3456908770438918,-1.257570340465497,-1.6560695501430451,-0.020593641668779434,-1.6127000332469243,0,0,0,0,5,0,1,3
0.6239573261004014,-0.5644786802925077,0.05791395593463564,0.6273819279884545,-1.5112132588556586,-0.257030400208135,-0.578210617462462,0,0,0,0,17,0,0,4
0.6239573261004014,2.7283822226826,1.3394661947411173,-1.1528507699958328,-1.5112132588556586,-0.7299039172868461,0.9735235062142312,0,0,0,0,18,6,3,3
-0.40891359940928507,-0.5644786802925077,-0.5523490149255936,1.0462602098671105,-1.5112132588556586,-0.5525763483823295,0.2838638956912564,0,0,0,0,10,6,3,5
0.6239573261004014,0.25873654545126906,-1.223638282871846,1.3604189212761024,-1.5112132588556586,-0.8481222965565239,-0.06096590957023099,0,0,0,0,4,1,4,1
1.656828251610088,2.7283822226826,0.668176926794865,-0.908505105566617,-1.5112132588556586,-0.7299039172868461,1.8355980193679498,0,0,0,0,18,1,2,7
0.6239573261004014,-0.5644786802925077,-0.0031123411513872875,0.20850364610979857,-1.5112132588556586,-0.4343579691126517,-1.4402851306161806,0,0,0,0,9,0,2,5
0.6239573261004014,-0.5644786802925077,1.0953610063970254,-0.8386920585868409,-1.5112132588556586,-0.789013106921685,1.3183533114757187,0,0,0,0,7,5,0,1
