failed_login_attempts,cvss_score,malware_detected,severity_score,event_type_enc,protocol_enc,os_enc,department_enc
-0.5644786802925077,0.4528493105390145,0,-0.408913599409285,9,1,3,3
0.258736545451269,-0.629252917647513,0,-1.4417845249189716,16,6,1,2
2.316774609810712,-0.3500007297284091,0,0.6239573261004014,19,0,4,2
-0.5644786802925077,-1.1528507699958328,0,0.6239573261004014,3,4,4,1
-0.5644786802925077,-0.7339724881171771,0,0.6239573261004014,3,0,4,4
-0.5644786802925077,0.4877558340289027,1,0.6239573261004014,1,4,0,0
-0.5644786802925077,-0.908505105566617,0,-0.408913599409285,4,2,2,7
-0.5644786802925077,-0.524533347177849,0,-1.4417845249189716,4,6,4,2
-0.5644786802925077,-0.9783181525463928,0,-0.408913599409285,4,6,0,6
-0.5644786802925077,-1.222663816975609,1,-0.408913599409285,8,3,3,7
-0.5644786802925077,-1.257570340465497,0,-0.408913599409285,5,0,1,3
-0.5644786802925077,0.6273819279884545,0,0.6239573261004014,17,0,0,4
2.7283822226826,-1.1528507699958328,0,0.6239573261004014,18,6,3,3
-0.5644786802925077,1.0462602098671103,0,-0.408913599409285,10,6,3,5
0.258736545451269,1.3604189212761024,0,0.6239573261004014,4,1,4,1
2.7283822226826,-0.908505105566617,0,1.656828251610088,18,1,2,7
-0.5644786802925077,0.2085036461097985,0,0.6239573261004014,9,0,2,5
-0.5644786802925077,-0.8386920585868409,0,0.6239573261004014,7,5,0,1
-0.5644786802925077,-1.6415420988542648,0,-0.408913599409285,23,5,4,6
-0.5644786802925077,-0.3150942062385213,0,1.656828251610088,19,6,2,5
-0.5644786802925077,1.1509797803367747,0,-0.408913599409285,18,1,4,4
-0.5644786802925077,1.3604189212761024,1,-1.4417845249189716,14,6,4,1
-0.5644786802925077,0.4179427870491267,0,0.6239573261004014,22,4,3,4
-0.5644786802925077,1.5698580622154303,1,0.6239573261004014,13,0,3,6
-0.5644786802925077,-0.7688790116070651,0,1.656828251610088,5,6,0,7
-0.5644786802925077,1.2207928273165505,0,-0.408913599409285,1,1,2,7
-0.5644786802925077,1.5698580622154303,1,0.6239573261004014,9,6,0,2
-0.5644786802925077,1.639671109195206,0,-1.4417845249189716,13,4,2,6
-0.5644786802925077,1.639671109195206,1,-0.408913599409285,7,7,1,6
2.316774609810712,-0.664159441137401,0,0.6239573261004014,20,1,1,5
-0.5644786802925077,-0.3849072532182971,0,0.6239573261004014,13,6,0,4
-0.5644786802925077,-1.083037723016057,0,0.6239573261004014,20,7,1,6
-0.5644786802925077,0.5924754044985666,0,1.656828251610088,17,2,3,7
-0.5644786802925077,0.5924754044985666,0,0.6239573261004014,2,6,3,5
-0.5644786802925077,0.3830362635592385,0,0.6239573261004014,23,3,3,5
2.316774609810712,0.7670080219480067,1,0.6239573261004014,6,3,2,3
-0.5644786802925077,-1.083037723016057,0,1.656828251610088,23,1,3,0
1.081951771195046,0.7321014984581184,0,-0.408913599409285,2,3,3,3
-0.5644786802925077,0.1037840756401346,0,-1.4417845249189716,6,3,2,2
-0.5644786802925077,-1.1877572934857208,0,0.6239573261004014,11,7,1,5
-0.5644786802925077,1.639671109195206,0,-0.408913599409285,11,0,3,4
-0.5644786802925077,0.4528493105390145,0,0.6239573261004014,8,5,1,0
-0.5644786802925077,-0.1405615887890813,0,-0.408913599409285,13,6,4,4
-0.5644786802925077,-0.4547203001980731,0,-1.4417845249189716,1,4,3,6
2.316774609810712,0.1037840756401346,0,0.6239573261004014,1,2,2,3
-0.1528710674206193,-0.908505105566617,0,-1.4417845249189716,11,0,3,0
-0.5644786802925077,0.7321014984581184,1,1.656828251610088,19,0,1,0
-0.5644786802925077,0.1735971226199107,1,1.656828251610088,21,3,3,2
-0.5644786802925077,-0.0707485418093052,0,0.6239573261004014,16,5,0,6
-0.5644786802925077,0.0339710286603586,0,-0.408913599409285,15,1,2,6
-0.5644786802925077,-0.3849072532182971,1,0.6239573261004014,2,0,0,5
2.316774609810712,0.5575688810086785,0,-0.408913599409285,4,0,3,0
-0.5644786802925077,0.7321014984581184,0,-1.4417845249189716,0,7,4,4
-0.5644786802925077,-0.664159441137401,0,-1.4417845249189716,14,6,0,2
1.4935593840669343,-0.3500007297284091,0,1.656828251610088,12,6,3,4
-0.5644786802925077,-0.1754681122789692,0,-1.4417845249189716,19,3,2,6
-0.5644786802925077,0.2434101695996867,0,-0.408913599409285,17,2,3,3
1.4935593840669343,1.6745776326850943,0,-0.408913599409285,21,5,2,6
-0.5644786802925077,0.9415406393974466,0,-0.408913599409285,15,0,2,1
-0.5644786802925077,0.8717275924176705,0,1.656828251610088,21,1,0,0
-0.5644786802925077,0.0339710286603586,0,0.6239573261004014,4,0,1,6
-0.5644786802925077,-0.1056550652991931,1,-1.4417845249189716,16,2,2,7
2.7283822226826,-0.3849072532182971,1,-1.4417845249189716,3,6,4,2
2.316774609810712,-0.873598582076729,1,0.6239573261004014,5,4,3,3
-0.5644786802925077,1.639671109195206,0,0.6239573261004014,23,7,4,1
-0.5644786802925077,-0.0009354948295292,1,0.6239573261004014,16,4,1,4
-0.5644786802925077,-0.664159441137401,0,1.656828251610088,16,4,2,0
-0.5644786802925077,0.7321014984581184,0,-0.408913599409285,13,5,4,4
-0.5644786802925077,0.8368210689277826,0,-0.408913599409285,3,6,0,7
1.081951771195046,1.6745776326850943,0,-1.4417845249189716,20,0,0,7
2.316774609810712,0.7670080219480067,0,1.656828251610088,8,0,4,7
-0.5644786802925077,1.4651384917457662,0,-1.4417845249189716,3,4,0,3
-0.5644786802925077,-1.0132246760362809,0,0.6239573261004014,5,1,4,7
-0.5644786802925077,-0.943411629056505,0,1.656828251610088,11,7,4,6
-0.5644786802925077,-1.7462616693239288,1,0.6239573261004014,8,2,0,5
-0.5644786802925077,1.3604189212761024,0,-1.4417845249189716,17,3,0,6
-0.5644786802925077,-0.629252917647513,0,-1.4417845249189716,20,0,4,1
2.7283822226826,0.9415406393974466,0,1.656828251610088,9,4,0,0
-0.5644786802925077,0.3830362635592385,0,1.656828251610088,7,6,4,3
-0.5644786802925077,1.1160732568468863,0,0.6239573261004014,0,5,3,3
-0.5644786802925077,0.3132232165794628,0,0.6239573261004014,11,5,1,4
-0.5644786802925077,-0.3500007297284091,0,0.6239573261004014,13,3,4,5
-0.5644786802925077,-0.5943463941576251,0,0.6239573261004014,18,1,2,1
-0.5644786802925077,-0.3150942062385213,0,-1.4417845249189716,0,2,3,3
-0.5644786802925077,1.1160732568468863,0,-0.408913599409285,5,0,4,4
-0.5644786802925077,1.5000450152356546,0,-0.408913599409285,15,4,3,4
0.6703441583231574,0.4877558340289027,0,0.6239573261004014,16,3,1,3
0.258736545451269,-0.6990659646272891,0,0.6239573261004014,19,3,0,5
-0.5644786802925077,0.9764471628873344,0,-1.4417845249189716,9,6,0,2
-0.5644786802925077,1.6745776326850943,0,0.6239573261004014,3,1,4,4
1.4935593840669343,0.7670080219480067,0,1.656828251610088,2,5,4,3
